NUMERORECEITAORCAMENTARIAUG;DESCRICAO;CLASSIFICACAO_SEREC;DETALHAMENTO
917220101;Deducao de Cota-Parte do ICMS - FUNDEB;ICMS;DEDUCAO FUNDEB
917220102;Deducao de Cota-Parte do IPVA - FUNDEB;IPVA;DEDUCAO FUNDEB
917220104;Deducao de Cota-Parte do IPI sobre Exportacao - FUNDEB;IPI ExportaCAo;DEDUCAO FUNDEB
917230000;Deducao de Transferencias dos Municipios;OUTRAS TRANSFERENCIAS;OUTRAS DEDUCOES
917213600;Deducao de Transferencia Financeira do ICMS Desoneracao L.C. N. 87.96 - FUNDEB;ICMS DesoneraCAo L.C. Nº 87.96;DEDUCAO FUNDEB
19219900;Outras Indenizacoes;;
19229900;Outras Restituicoes;;
19119900;Multas e Juros de Mora de Outros Tributos;;
19195000;Multas por Auto de Infracao;;
19191500;Multas Previstas na Legislacao de Transito;;
19110000;Multas e Juros de Mora dos Tributos;;
19199900;Outras Multas;;
19191000;Multas Previstas na Legislacao Sanitaria;;
19320000;Receita da Divida Ativa nao tributaria;NAO TRIBUTARIA;DIVIDA ATIVA
19319900;Receita da Divida Ativa de Outros Tributos;OUTRO TRIBUTOS;DIVIDA ATIVA
19311300;Receita da Divida Ativa do Imposto sobre Servicos de Qualquer Natureza - ISS;ISS;DIVIDA ATIVA
19311100;Receita da Divida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana - IPTU;IPTU;DIVIDA ATIVA
19900201;Receita de Honorarios de Advogados;;
19909900;Outras Receitas;;
19900202;Receita de onus de Sucumbencia;;
13290000;Outras Receitas de Valores Mobiliarios;;
13210000;Juros de Titulos de Renda;;
11120434;Imposto de Renda Retido nas Fontes sobre Outros Rendimentos;IRRF;Outros Rendimentos
11120431;Imposto de Renda Retido nas Fontes sobre os Rendimentos do Trabalho;IRRF;Rendimentos do Trabalho
11120800;Imposto sobre Transmissao Inter Vivos de Bens Imoveis e de Direitos Reais sobre Imoveis;ITBI;PRINCIPAL
11130500;Imposto sobre Servicos de Qualquer Natureza;ISS;ORDINARIO
11120200;Imposto sobre a Propriedade Predial e Territorial Urbana;IPTU;PRINCIPAL
11222800;Taxa de Cemiterios;;
